numPlayers: 35
Player0: Abel
Player1: Adon
Player2: Akuma
Player3: Blanka
Player4: Boxer
Player5: Cammy
Player6: Chun-Li
Player7: Claw
Player8: Cody
Player9: Dan
Player10: DeeJay
Player11: Dhalsim
Player12: Dictator
Player13: Dudley
Player14: E. Honda
Player15: El Fuerte
Player16: Fei-Long
Player17: Gen
Player18: Gouken
Player19: Guile
Player20: Guy
Player21: Hakan
Player22: Ibuki
Player23: Juri
Player24: Ken
Player25: Makoto
Player26: Rose
Player27: Rufus
Player28: Ryu
Player29: Sagat
Player30: Sakura
Player31: Seth
Player32: T. Hawk
Player33: Viper
Player34: Zangief
numGames: 10000
6:25 1:0
5:8 0:1
17:21 1:0
3:34 0:1
14:25 1:0
20:26 0:1
7:24 0:1
13:20 1:0
19:28 1:0
20:22 1:0
11:17 0:1
7:11 1:0
24:30 1:0
1:34 0:1
9:27 0:1
10:14 1:0
4:13 1:0
13:26 1:0
16:18 1:0
3:5 1:0
5:14 0:1
7:23 0:1
9:11 1:0
7:15 0:1
14:15 1:0
8:25 0:1
9:26 1:0
2:4 0:1
21:29 1:0
4:22 0:1
9:27 1:0
2:23 0:1
12:13 0:1
12:26 0:1
16:24 1:0
17:19 0:1
8:16 0:1
7:34 1:0
20:22 1:0
1:27 0:1
4:8 1:0
13:21 1:0
0:28 1:0
14:19 0:1
2:4 1:0
4:25 0:1
16:34 1:0
0:1 1:0
5:11 1:0
11:14 0:1
8:32 1:0
3:19 0:1
16:18 0:1
2:6 0:1
6:11 1:0
18:27 0:1
3:26 1:0
7:8 1:0
16:32 0:1
20:25 1:0
31:32 0:1
10:24 1:0
11:14 1:0
31:34 1:0
27:31 0:1
11:13 0:1
8:10 0:1
5:13 1:0
17:31 1:0
21:29 1:0
3:25 1:0
14:20 1:0
20:24 0:1
14:28 1:0
9:34 0:1
10:29 1:0
3:33 1:0
12:29 0:1
28:30 1:0
18:29 0:1
5:18 0:1
21:22 0:1
28:33 0:1
6:10 0:1
17:23 0:1
10:34 0:1
10:16 1:0
24:25 1:0
28:33 0:1
13:18 0:1
5:21 0:1
2:8 0:1
30:32 0:1
25:31 0:1
22:25 1:0
13:16 0:1
0:2 1:0
24:34 1:0
22:24 1:0
12:19 0:1
12:25 1:0
10:23 0:1
15:32 0:1
20:31 0:1
16:23 1:0
25:26 1:0
2:8 0:1
17:29 0:1
27:28 0:1
10:14 0:1
0:4 0:1
26:32 0:1
32:34 0:1
16:19 0:1
1:29 1:0
20:24 1:0
0:27 1:0
13:20 0:1
5:19 1:0
10:23 0:1
21:26 0:1
10:34 0:1
17:30 1:0
27:30 0:1
11:12 0:1
18:34 0:1
10:33 1:0
7:20 0:1
19:21 0:1
18:26 1:0
3:33 0:1
21:25 0:1
8:24 1:0
10:18 1:0
31:34 1:0
18:33 0:1
27:30 1:0
12:25 0:1
16:32 0:1
6:18 0:1
11:21 1:0
17:33 1:0
3:27 0:1
21:26 1:0
6:8 1:0
19:23 0:1
7:31 0:1
10:31 1:0
20:29 0:1
4:12 0:1
1:15 1:0
1:18 1:0
30:32 1:0
10:17 1:0
9:17 0:1
16:20 0:1
17:32 0:1
5:15 1:0
23:34 0:1
15:21 0:1
5:24 1:0
1:6 0:1
11:29 0:1
23:29 0:1
24:27 1:0
3:10 0:1
23:33 0:1
6:12 0:1
5:23 1:0
12:30 1:0
28:29 0:1
19:20 1:0
19:31 1:0
1:12 1:0
6:15 0:1
22:34 1:0
8:17 0:1
7:27 0:1
2:31 1:0
1:27 0:1
23:27 0:1
13:23 1:0
10:20 0:1
1:3 0:1
7:20 0:1
9:15 0:1
31:33 0:1
14:18 0:1
3:11 0:1
29:32 0:1
7:15 0:1
12:33 0:1
6:34 1:0
5:16 1:0
21:31 0:1
27:30 1:0
17:24 0:1
14:34 0:1
0:14 1:0
6:16 0:1
4:31 0:1
17:27 0:1
25:28 0:1
1:24 1:0
29:33 0:1
13:16 1:0
15:30 0:1
4:12 1:0
26:32 0:1
3:22 0:1
6:7 1:0
7:17 1:0
10:15 0:1
14:18 0:1
4:23 1:0
15:34 1:0
7:27 0:1
7:32 1:0
31:33 0:1
28:30 1:0
5:11 0:1
11:13 0:1
0:15 0:1
9:27 1:0
17:34 0:1
2:16 0:1
26:27 1:0
2:5 1:0
12:18 1:0
3:27 1:0
2:11 1:0
4:8 0:1
13:30 1:0
20:29 0:1
9:13 0:1
12:31 0:1
6:18 0:1
17:29 0:1
19:34 1:0
24:31 1:0
22:31 1:0
1:17 1:0
22:27 1:0
20:31 1:0
7:19 0:1
16:33 1:0
3:23 1:0
6:7 1:0
9:32 0:1
7:11 1:0
21:34 1:0
2:6 1:0
12:28 1:0
8:21 1:0
23:24 0:1
14:27 1:0
5:13 0:1
5:34 0:1
11:13 0:1
5:23 0:1
5:21 1:0
13:31 1:0
12:32 1:0
4:13 0:1
17:32 0:1
18:33 1:0
9:29 0:1
16:31 1:0
10:21 0:1
12:16 0:1
3:32 1:0
0:23 1:0
1:19 1:0
0:9 1:0
0:14 1:0
12:29 0:1
7:20 0:1
24:26 1:0
16:32 1:0
1:31 1:0
0:12 1:0
5:9 0:1
16:22 1:0
15:34 1:0
9:32 1:0
8:32 1:0
13:15 0:1
17:24 0:1
14:26 0:1
0:33 0:1
5:20 1:0
7:8 0:1
4:23 0:1
0:26 0:1
2:15 0:1
7:27 1:0
4:8 0:1
2:34 1:0
10:31 0:1
1:22 1:0
2:32 0:1
12:24 0:1
19:28 0:1
12:33 1:0
17:27 0:1
26:27 0:1
16:20 1:0
0:28 1:0
26:30 1:0
18:34 0:1
10:34 0:1
2:17 0:1
18:28 1:0
17:20 1:0
11:27 1:0
4:33 0:1
6:26 0:1
3:30 0:1
13:21 1:0
5:15 0:1
20:26 0:1
0:2 1:0
25:26 1:0
18:29 1:0
13:20 1:0
4:11 0:1
29:32 1:0
0:24 0:1
11:23 0:1
1:7 0:1
16:29 1:0
0:24 0:1
11:17 0:1
14:19 0:1
30:33 0:1
33:34 0:1
15:26 0:1
14:29 0:1
1:21 0:1
16:32 0:1
4:13 1:0
29:30 1:0
9:29 0:1
13:17 1:0
26:34 1:0
0:9 0:1
5:24 1:0
2:31 1:0
22:33 0:1
22:32 0:1
8:28 0:1
0:17 1:0
1:26 1:0
0:10 1:0
26:34 1:0
11:21 1:0
7:16 0:1
