numPlayers: 4381
Player0: 
Player1: 01josh
Player2: 123
Player3: 2FresH
Player4: 587
Player5: ABCD
Player6: ABomB
Player7: AGIANTSMURF
Player8: AHL
Player9: AIMO
Player10: AK
Player11: ALF
Player12: ALU
Player13: ANKo
Player14: ANXO
Player15: ASGARD
Player16: ASURaSIN
Player17: ATSky
Player18: AVV
Player19: A_Happysloth
Player20: Aaron
Player21: Abstract
Player22: AbuZerG
Player23: Abver
Player24: Abyssdra
Player25: AcE
Player26: AcRo
Player27: Acacia
Player28: Ace
Player29: Acela
Player30: Acergame
Player31: Achilles
Player32: Acillea
Player33: Acou
Player34: Acoustic
Player35: Action
Player36: ActionJesuz
Player37: Active
Player38: Acupuncture
Player39: Addicted
Player40: Adebisi
Player41: Adebsisi
Player42: Adelscott
Player43: Adj
Player44: Adolf
Player45: Adonminus
Player46: Aean
Player47: Aequitas
Player48: Affair
Player49: Affect
Player50: Afflatus
Player51: Afhrait
Player52: Afterglow
Player53: Aftersevendays
Player54: AgUy
Player55: Agh
Player56: AiRitus
Player57: Ailuj
Player58: Aisten
Player59: AizatMo
Player60: AkaiSola
Player61: AkasiaMoka
Player62: Akhee
Player63: Akiles
Player64: Akita
Player65: Akke
Player66: Akki
Player67: Aktivisti
Player68: Al
Player69: Al-Husien
Player70: AlaStOr
Player71: Alanchezar
Player72: Alejandrisha
Player73: AlexBjj
Player74: AlexCMoi
Player75: AlexDeLarge
Player76: Alexxx
Player77: Alfons
Player78: Alice
Player79: Alicia
Player80: Alizard
Player81: Alkom
Player82: Alkresh
Player83: AllForOne
Player84: AllVini
Player85: Alopex
Player86: Alpha
Player87: AlphaIIOmega
Player88: Alshva
Player89: Alsn
Player90: Alternity
Player91: Altria
Player92: Always
Player93: AlwaysYou
Player94: AmagamiSS
Player95: Amandil
Player96: Amanitar
Player97: Amoment
Player98: AmstAff
Player99: AnDa
Player100: AnNyeong
Player101: AnX
Player102: Anathorn
Player103: Anavar
Player104: Anbu
Player105: Ancestor
Player106: Ancient
Player107: And3ad
Player108: Andi
Player109: Andrei
Player110: Andro
Player111: AndyPandy
Player112: Anfield
Player113: Ang.Odin
Player114: AngryZerg
Player115: Animal
Player116: Anna
Player117: Another
Player118: Anotherday
Player119: Anteloptics
Player120: Anthony
Player121: Anti
Player122: AntiHueySuck
Player123: Antimage
Player124: Anubis
Player125: Aoratha
Player126: Aozora
Player127: Apahota
Player128: Apathetic
Player129: Aphrodite
Player130: Apocalypse
Player131: Apocalypsis
Player132: Apollo
Player133: Apriori
Player134: Apro
Player135: Aquanda
Player136: ArTik
Player137: Ara
Player138: AraGorn
Player139: Arath
Player140: Arcane
Player141: Arcanewinds
Player142: Arcanne
Player143: Archaic
Player144: Archer
Player145: Archon
Player146: ArchonGG
Player147: ArcticFox81
Player148: Arena
Player149: Ares
Player150: Arew
Player151: Argo
Player152: AriA
Player153: Aria
Player154: Aristeo
Player155: Arlock
Player156: Armani
Player157: ArminvB
Player158: Armsved
Player159: Arnold
Player160: Arrival
Player161: ArtOfTerranSC2
Player162: ArtOfWar
Player163: ArtZ
Player164: Artanis
Player165: Arte
Player166: Arthasere
Player167: Arthur
Player168: ArthurD
Player169: Artist
Player170: Artosis
Player171: AsTeR
Player172: Ascension
Player173: Ash
Player174: Ashbringer
Player175: Asp
Player176: Assem
Player177: Assured
Player178: Astarwulf
Player179: Astraea
Player180: Astrea
Player181: Atomic
Player182: AttackDdang
Player183: Attero
Player184: Attzy
Player185: Aturion
Player186: AuRora
Player187: August
Player188: Aura
Player189: AureS
Player190: Aurex
Player191: Auriouk
Player192: AvaTaR
Player193: Avekatten
Player194: Avenge
Player195: Avenger
Player196: Avire
Player197: Awake
Player198: Awers
Player199: Awesome
Player200: Axeltoss
Player201: Axslav
Player202: Ayo
Player203: AzK
Player204: Azango
Player205: Azi
Player206: Azka
Player207: Azndude
Player208: Azoni
Player209: Azure
Player210: Azz
Player211: BALLERTRON
Player212: BANELINGKING
Player213: BASiC
Player214: BATISTUTA
Player215: BBQplox
Player216: BBoongBBoong
Player217: BIGGUN
Player218: BLaZeR
Player219: BLord
Player220: BSBZerg
Player221: BaFFinO
Player222: Baby
Player223: BabyByeBye
Player224: BabyKnight
Player225: BabyToss
Player226: Baconz
Player227: Bad
Player228: Bai
Player229: Bails
Player230: Bakasan
Player231: Bakuri
Player232: Balanceg
Player233: BaldEagle
Player234: Balloon
Player235: Bally
Player236: Bamboocha
Player237: BamonD
Player238: BanBans
Player239: Bandit
Player240: Bandito
Player241: Bang
Player242: Barcode
Player243: Bard
Player244: Barkan
Player245: Baron
Player246: BaronFel
Player247: BarrackS
Player248: Bash
Player249: Bashfix
Player250: BateToshko
Player251: Baudusau
Player252: Baz
Player253: Bbyong
Player254: BeAlone
Player255: BeNSeN
Player256: BeSt
Player257: BeVDoG
Player258: BeaSt
Player259: Bear
Player260: Beastyqt
Player261: Beckham
Player262: Bee
Player263: BeefITek
Player264: Beethoven
Player265: Beezy
Player266: BegForMercy
Player267: Beijer
Player268: Bekho
Player269: Belief
Player270: Believe
Player271: Bellini
Player272: Bellomo
Player273: Beloth
Player274: BenJay
Player275: Benji
Player276: Bennylava
Player277: BenzO
Player278: Berimbau
Player279: Berra
Player280: Berty
Player281: BiGbiRd
